TimeStamp,Challengee,Street,City,Witnesses
2022-01-15-11:24:20,11MZKpuvvtVt9hWF5dWwZW8CpKXadaqgKYuyuxbCPitCPiXBUhj,N 113th St,Scottsdale,2
2022-01-07-05:44:27,112Q5b4RkCdpUwU6qvkoPin5FD4VAwQV8A8rN9x5GGn8cPsVYERp,Bramley Ave,Coulsdon,6
2022-01-07-10:02:30,11uUajdkxCZM5491aQEDGgdMB4z8ZAM7fitbdCHze18LZjcj15h,Archangel Dr,San Jose,8
2022-01-13-03:41:59,112mynbqP9xibZamCqbWsEdKY9TCLFZUNHMMZeBbrbwi2roSZckU,Lakeview Blvd,Fremont,12
2022-01-09-04:31:33,112i64Tv5X7RSZoVxdFGH1hmgNEjEkLMFsxFTiX95zpW8Z4wU8oP,Grapevine Terrace,Fremont,12
2022-01-14-07:27:49,11Z3g2NNnFedUVmqbgYUtDDMuxqz8jKwHELGB3pU1zosMkCRxKS,Unnamed Road,San Jose,12
2022-01-14-02:34:26,11uUajdkxCZM5491aQEDGgdMB4z8ZAM7fitbdCHze18LZjcj15h,Archangel Dr,San Jose,13
2022-01-15-07:27:26,112MpWVBGqC4gye1x3oY3t6ycc9zsKAEBZtihcnf8cfUVYY6cT1X,Fordham St,East Palo Alto,13
2022-01-08-07:04:25,11gENKDX2w3adJmkv4T1BKDNPqiPWQBgtKHeNuRkjTLtdqZEbWJ,Lynx Dr,Fremont,14
2022-01-14-02:13:55,11uUajdkxCZM5491aQEDGgdMB4z8ZAM7fitbdCHze18LZjcj15h,Archangel Dr,San Jose,16
2022-01-12-07:43:15,11uUajdkxCZM5491aQEDGgdMB4z8ZAM7fitbdCHze18LZjcj15h,Archangel Dr,San Jose,17
2022-01-08-07:11:21,11CPfgqVDa91sb38RJzgbz2FXVDS66dkyQiAdNmmWczuhJAzu9Y,Christy St,Fremont,17
2022-01-10-12:07:49,11RaVmAadLFRstHS5sZZ9Yr52nw3hTPoNaLwERx5Mjfrxa631Wh,Palomares Rd,Sunol,18
2022-01-09-06:04:15,11aKESLLSFMykUDRCNR8hN67MFXYHSTYYNLge6puQj9FNCGNhb7,Vista De Sierra,Los Gatos,18
2022-01-10-05:54:47,112U6CXTJHPgnQaoTySG2pZ6ujSnfdtm5JXSxUdeUbVLGGd8xTf,Hochler Dr,Fremont,18
2022-01-09-07:26:28,11Z3g2NNnFedUVmqbgYUtDDMuxqz8jKwHELGB3pU1zosMkCRxKS,Unnamed Road,San Jose,18
2022-01-09-11:41:26,11uUajdkxCZM5491aQEDGgdMB4z8ZAM7fitbdCHze18LZjcj15h,Archangel Dr,San Jose,18
2022-01-09-12:45:05,112UchRSkYZkmedmpRWrr1dS6V7N63XXNuT2yN8asLUxNW928cqE,El Bosque St,San Jose,18
2022-01-09-01:22:05,11d5yGz5gqok221hijsGv2dL9hCLK14WuvHg9EzjTAPHUtF9a9Q,Bay Area Ridge Trail,Fremont,18
2022-01-09-03:09:49,11YzVLXq5CcwhsWm8yWBRq8taPnrcwyAuu5CLycw8F3n21WNeQD,Renaissance Dr,San Jose,18
2022-01-10-05:53:07,11PcdXio8tuv6ZKjUmTwAgqiLedSzDJgMo2qbYsEhMKJiXfJnAm,Northforde Dr,Cupertino,18
2022-01-09-05:52:30,11Vv4X7VuFgiVgTuvoNVbfQjDZtG1FVYffeJirsevaa54bNsapN,Auto Mall Pkwy,Fremont,18
2022-01-09-05:54:13,11uUajdkxCZM5491aQEDGgdMB4z8ZAM7fitbdCHze18LZjcj15h,Archangel Dr,San Jose,18
2022-01-09-08:51:23,112j1hwF1FEW8WC6VYd5J2tUp7dD9FBbFac813QAsKfPRi338xR7,W Weddell Dr,Sunnyvale,18
2022-01-09-10:28:10,112rNTqPyaXcuPGrps5W3haXT1qbr3brv9FC4nEFx9Q32SK7aReZ,Adagio Ct,Fremont,18
2022-01-09-04:35:04,112aq6XEwwWFu1CiN3NhunSSdmcawfKWezgoJ7QniVmt9NExv33u,Bryce Canyon Park Dr,Fremont,18
2022-01-15-03:53:55,112M6s5bxAEMhyBxb3BHYViG9Th8q6XjfvJDM8d46qVLUYJWXmw7,Cactus St,Fremont,18
2022-01-08-07:59:49,112XMZGPmyCAwDTdcM8U3MyTyxVBdrWTXa2FxHHfJm8SpoGkvnvT,Stevenson Blvd,Fremont,18
2022-01-07-07:47:14,11WuTPVZJCFyUE4fgntKUhrewFmpVLE2JJsybcTcugkfrbv3tRU,Northforde Dr,Cupertino,18
2022-01-07-07:48:04,11UrWhR43WZnvyMGgWLgLphJ8Wg69gzToT8uimagS1dPcHkNusu,Sunnyvale Saratoga Rd,Sunnyvale,18
